Site Name,Tier,Digital Pub Code,Digital Rate,MG2 including e-Edition,MG2 Upsell,Digital Rate Code,Digital Term Length,Digital PID,Print Pub Code,Print Offers,Print Term Length,High FOD,High FOD Rate,High FOD Rate Code,High FOD PID,Low FOD,Low FOD Rate,Low FOD Rate Code,Low FOD PID
Alexandria,C,OT,$3for3Months-$8.99/Mfor12M,2791,,FALSE,Year,,TT,50% Off (No OTSF),3 Months,D3,9,KA,3896719,SO,6,KA,3896720
Anderson,C,IW,$3for3Months-$8.99/Mfor12M,2791,,FALSE,Year,,AI,50% Off (No OTSF),3 Months,DS,12.5,WC,3896686,SO,7,WC,3896731
Asbury Park,A,DA,$3for3Months-$8.99/Mfor12M,2791,,FALSE,Year,,AP,$X.99 Week (No OTSF),3 Months,DS,13.00116036,Z%,3896952,SF,6.478839108,Z%,3896953
Asheville,B,CD,$3for3Months-$8.99/Mfor12M,2791,,FALSE,Year,,CT,$X.99 Week (No OTSF),3 Months,DS,13.00116036,74,3553175,SO,4.3,74,3896671
Battle Creek,C,ED,$3for3Months-$8.99/Mfor12M,2791,,FALSE,Year,,EN,50% Off (No OTSF),3 Months,DS,13,WA,3896851,SO,7.125,WA,3896852
Bergen - Herald News,C,HW,$3for3Months-$8.99/Mfor12M,2791,,FALSE,Year,,HR,50% Off (No OTSF),3 Months,DS,16,KJ,3896955,SR,9,KJ,3896956
Bergen - The Record,A,TW,$3for3Months-$8.99/Mfor12M,2791,,FALSE,Year,,TR,$X.99 Week (No OTSF),3 Months,DS,13.00116036,Z4,3896957,SR,4.304732025,Z4,3896958
Binghamton,B,DP,$3for3Months-$8.99/Mfor12M,2791,,FALSE,Year,,PS,$X.99 Week (No OTSF),3 Months,DS,13.00116036,Z%,3897010,SO,4.304732025,Z%,3896963
Brevard,B,WA,$3for3Months-$8.99/Mfor12M,2791,,FALSE,Year,,FT,$X.99 Week (No OTSF),3 Months,DS,13.00116036,{D,3896685,SO,4.304732025,{D,3896728
Bridgewater,C,DC,$3for3Months-$8.99/Mfor12M,2791,,FALSE,Year,,CN,50% Off (No OTSF),3 Months,DS,14,KA,3897000,SO,8,KA,3897001
Burlington,B,DF,$3for3Months-$8.99/Mfor12M,2791,,FALSE,Year,,FP,$X.99 Week (No OTSF),3 Months,DS,13.00116036,Z%,3896961,SO,4.304732025,Z%,3896962
Chambersburg,C,EC,$3for3Months-$8.99/Mfor12M,2791,,FALSE,Year,,PO,50% Off (No OTSF),3 Months,DS,12.5,GJ,3896966,SO,6,GJ,3897015
Cherry Hill,B,DC,$3for3Months-$8.99/Mfor12M,2791,,FALSE,Year,,CP,$X.99 Week (No OTSF),3 Months,DS,13.00116036,Z%,3897003,SO,4.304732025,Z%,3897004
Clarksville,C,DL,$3for3Months-$8.99/Mfor12M,2791,,FALSE,Year,,LC,50% Off (No OTSF),3 Months,DS,13,KA,3896683,SO,7.5,KA,3896684
Detroit Free Press,A,WF,99c per week,n/a,n/a,FALSE,Year,3896841,FP,$X.99 Week (No OTSF),3 Months,PW,13.00116036,{D,3896790,SD,4.304732025,{D,3896791
Detroit News,A,WD,99c per week ,n/a,n/a,FALSE,Year,3896842,DN,$X.99 Week (No OTSF),3 Months,PW,13.00116036,{D,3896792,,,,
Elmira,C,DS,$3for3Months-$8.99/Mfor12M,2791,,FALSE,Year,,SG,50% Off (No OTSF),3 Months,DS,14,KA,3897011,SR,8.5,KA,3897012
Fort Myers,A,AA,$3for3Months-$8.99/Mfor12M,2791,,FALSE,Year,,NP,$X.99 Week (No OTSF),3 Months,DS,13.00116036,{D,3896706,SO,4.304732025,{D,3896707
Greenville,B,WA,$3for3Months-$8.99/Mfor12M,2791,,FALSE,Year,,GN,$X.99 Week (No OTSF),3 Months,DS,13.00116036,D6,3896672,SO,4.304732025,D6,3896673
Hanover,C,EH,$3for3Months-$8.99/Mfor12M,2791,,FALSE,Year,,ES,50% Off (No OTSF),3 Months,H3,7.5,GJ,3897016,SO,6,GJ,3897017
Hattiesburg,C,HD,$3for3Months-$8.99/Mfor12M,2791,,FALSE,Year,,HA,50% Off (No OTSF),3 Months,D3,9,KA,3896668,SO,6,KA,3896669
Ithaca,C,DI,$3for3Months-$8.99/Mfor12M,2791,,FALSE,Year,,IJ,50% Off (No OTSF),3 Months,DO,10,KA,3897013,SA,6,KA,3896964
Jackson (MS),B,CD,$3for3Months-$8.99/Mfor12M,2791,,FALSE,Year,,CL,$X.99 Week (No OTSF),3 Months,DS,13.00116036,D-,3896667,SO,4.304732025,D-,3896705
Jackson (TN),C,JD,$3for3Months-$8.99/Mfor12M,2791,,FALSE,Year,,JS,50% Off (No OTSF),3 Months,DS,13,KA,3896724,SW,8,KA,3896725
Knoxville,A,XW,$3for3Months-$8.99/Mfor12M,2791,,FALSE,Year,,KN,$X.99 Week (No OTSF),3 Months,DS,13.00116036,J3,3896674,SO,4.304732025,AS,3896709
Lafayette (LA),B,OA,$3for3Months-$8.99/Mfor12M,2791,,FALSE,Year,,DA,$X.99 Week (No OTSF),3 Months,DS,13.00116036,D-,3896716,SO,4.304732025,D-,3896717
Lansing,B,SD,$3for3Months-$8.99/Mfor12M,2791,,FALSE,Year,,SJ,$X.99 Week (No OTSF),3 Months,DS,13.00116036,{D,3896844,SO,4.304732025,{D,3896845
Lebanon,C,EL,$3for3Months-$8.99/Mfor12M,2791,,FALSE,Year,,DN,50% Off (No OTSF),3 Months,DS,12.5,KJ,3897018,SO,6,KJ,3896967
Livingston,C,WP,$3for3Months-$8.99/Mfor12M,2791,,FALSE,Year,,PA,50% Off (No OTSF),3 Months,5S,8.5,GA,3896903,SO,6,GA,3896904
Memphis,B,MW,$3for3Months-$8.99/Mfor12M,2791,,FALSE,Year,,CM,$X.99 Week (No OTSF),3 Months,DS,13.00116036,BP,3896710,SO,4.304732025,63,3896711
Monroe,C,AN,$3for3Months-$8.99/Mfor12M,2791,,FALSE,Year,,NS,50% Off (No OTSF),3 Months,DS,12,KA,3896679,SO,6,KA,3896718
Montgomery,B,DA,$3for3Months-$8.99/Mfor12M,2791,,FALSE,Year,,MA,$X.99 Week (No OTSF),3 Months,DS,13.00116036,D-,3896675,SO,4.304732025,D-,3896676
Morristown,C,DD,$3for3Months-$8.99/Mfor12M,2791,,FALSE,Year,,DR,50% Off (No OTSF),3 Months,DS,14,KA,3897002,SO,8,KA,3896959
Murfreesboro,C,DJ,$3for3Months-$8.99/Mfor12M,2791,,FALSE,Year,,NJ,50% Off (No OTSF),3 Months,DS,10,KA,3896723,SO,6,KA,3896682
Naples,A,NW,$3for3Months-$8.99/Mfor12M,2791,,FALSE,Year,,NN,$X.99 Week (No OTSF),3 Months,DS,19.99,}J,3896670,SO,9.99,}J,3896708
Nashville,A,DP,$3for3Months-$8.99/Mfor12M,2791,,FALSE,Year,,TN,$X.99 Week (No OTSF),3 Months,DS,13.00116036,0M,3896726,SO,4.304732025,0M,3896727
New (East) Brunswick ,C,DH,$3for3Months-$8.99/Mfor12M,2791,,FALSE,Year,,HN,50% Off (No OTSF),3 Months,DS,14,KA,3896954,SO,8,KA,3896899
Opelousas,C,OW,$3for3Months-$8.99/Mfor12M,2791,,FALSE,Year,,DW,50% Off (No OTSF),3 Months,D3,7.5,KA,3896713,SO,4,KA,3896678
Pensacola,B,ND,$3for3Months-$8.99/Mfor12M,2791,,FALSE,Year,,NJ,$X.99 Week (No OTSF),3 Months,DS,13.00116036,{4,3896677,SW,6.478839108,{4,3896712
Port Huron,C,TD,$3for3Months-$8.99/Mfor12M,2791,,FALSE,Year,,TH,50% Off (No OTSF),3 Months,DS,13,KA,3896853,SO,6.5,KA,3896905
Poughkeepsie,B,DA,$3for3Months-$8.99/Mfor12M,2791,,FALSE,Year,,PJ,$X.99 Week (No OTSF),3 Months,DS,13.00116036,Z%,3897008,SO,4.304732025,Z%,3897009
Rochester,A,DA,$3for3Months-$8.99/Mfor12M,2791,,FALSE,Year,,DC,$X.99 Week (No OTSF),3 Months,DS,13.00116036,<D,3897005,SS,4.304732025,<D,3897006
Salisbury,B,DG,$3for3Months-$8.99/Mfor12M,2791,,FALSE,Year,,DT,$X.99 Week (No OTSF),3 Months,DS,13.00116036,Z4,3897014,SW,6.478839108,Z4,3896965
Shreveport,B,AS,$3for3Months-$8.99/Mfor12M,2791,,FALSE,Year,,ST,$X.99 Week (No OTSF),3 Months,DS,13.00116036,D-,3896714,SO,4.304732025,D-,3896715
Staunton,C,DP,$3for3Months-$8.99/Mfor12M,2791,,FALSE,Year,,NL,50% Off (No OTSF),3 Months,DS,10,KA,3896680,SO,6,KA,3896681
Tallahassee,B,WA,$3for3Months-$8.99/Mfor12M,2791,,FALSE,Year,,TD,$X.99 Week (No OTSF),3 Months,DS,13.00116036,MF,3896721,SO,4.304732025,MF,3896722
Treasure Coast,B,SW,$3for3Months-$8.99/Mfor12M,2791,,FALSE,Year,,SN,$X.99 Week (No OTSF),3 Months,DS,13.00116036,{D,3896729,SO,4.304732025,{D,3896730
Vineland,C,DV,$3for3Months-$8.99/Mfor12M,2791,,FALSE,Year,,DJ,50% Off (No OTSF),3 Months,DO,10,GJ,3897007,,,,
Westchester,A,DA,$3for3Months-$8.99/Mfor12M,2791,,FALSE,Year,,WT,$X.99 Week (No OTSF),3 Months,DS,13.00116036,ZH,3611030,SO,4.304732025,ZH,3896960
Wilmington,B,DA,$3for3Months-$8.99/Mfor12M,2791,,FALSE,Year,,M,$X.99 Week (No OTSF),3 Months,DS,13,{4,3732200,SO,4.3,{4,3732202
York Dispatch,B,ED,$3for3Months-$8.99/Mfor12M,2791,,FALSE,Year,,YD,$X.99 Week (No OTSF),3 Months,DS,13.00116036,Z4,3897020,,,,
York Daily Record,B,EM,$3for3Months-$8.99/Mfor12M,2791,,FALSE,Year,,YR,$X.99 Week (No OTSF),3 Months,DS,13.00116036,Z4,3897019,SO,4.304732025,Z4,3896968
Abilene,C,AW,$3for3Months-$8.99/Mfor12M,2791,,FALSE,Year,,AB,50% Off (No OTSF),3 Months,DS,13,KA,3896934,SO,8,KA,3896879
Alamogordo,C,AE,$3for3Months-$8.99/Mfor12M,2791,,FALSE,Year,,DN,50% Off (No OTSF),3 Months,T6,9,KD,3896937,SO,6.5,KD,3896885
Appleton,B,ZA,$3for3Months-$8.99/Mfor12M,2791,,FALSE,Year,,PC,$X.99 Week (No OTSF),3 Months,DS,13.00116036,{D,3896914,L3,4.3,{D,3896915
Baxter County,C,WA,$3for3Months-$8.99/Mfor12M,2791,,FALSE,Year,,BB,50% Off (No OTSF),3 Months,DO,7.5,BC,3896854,,,,
Bucyrus,C,OB,$3for3Months-$8.99/Mfor12M,2791,,FALSE,Year,,BT,50% Off (No OTSF),3 Months,DO,8.5,KH,3747131,WK,6.5,KH,3747056
Carlsbad,C,CE,$3for3Months-$8.99/Mfor12M,2791,,FALSE,Year,,CA,50% Off (No OTSF),3 Months,T6,9,KD,3896886,SO,6.5,KD,3896887
Chillicothe,C,OG,$3for3Months-$8.99/Mfor12M,2791,,FALSE,Year,,CG,50% Off (No OTSF),3 Months,DS,11,KH,3747133,SS,7.5,KH,3747134
