site,fod,fodTier, priceWeekly ,discountedMonthlyPrice,voluntaryPrice,savingsPrecentage,notes
Asbury Park,DS,highFod, $2.99 , $13.00 , $32.00 ,59%,
Asbury Park,WP,midFod, $1.99 , $8.65 , $22.00 ,61%,
Asbury Park,SF,midFod, $1.49 , $6.48 , $18.00 ,64%,
Asbury Park,SO,lowFod, $0.99 , $4.30 ,,,
Bergen - The Record,DS,highFod, $2.99 , $13.00 , $32.00 ,59%,
Bergen - The Record,ST,midFod, $1.99 , $8.65 , $26.00 ,67%,
Bergen - The Record,SR,lowFod, $0.99 , $4.30 , $18.00 ,76%,
Cincinnati,DS,highFod, $2.99 , $13.00 , $32.00 ,59%,
Cincinnati,WE,midFod, $1.99 , $8.65 , $22.00 ,61%,
Cincinnati,SO,lowFod, $0.99 , $4.30 , $18.00 ,76%,
Des Moines,DS,highFod, $2.99 , $13.00 , $32.00 ,59%,
Des Moines,ST,midFod, $1.99 , $8.65 , $24.00 ,64%,
Des Moines,SO (L),lowFod, $0.99 , $4.30 , $16.00 ,73%,
Des Moines,SP (A&C),lowFod, $0.99 , $4.30 , $16.00 ,73%,
Detroit Free Press,PW,highFod, $2.99 , $13.00 , $22.00 ,41%,
Detroit Free Press,SD,lowFod, $0.99 , $4.30 , $16.00 ,73%,
Fort Myers,DS,highFod, $2.99 , $13.00 , $32.00 ,59%,
Fort Myers,WE,midFod, $1.99 , $8.65 , $22.00 ,61%,
Fort Myers,SO,lowFod, $0.99 , $4.30 , $18.00 ,76%,
Indianapolis,DS,highFod, $2.99 , $13.00 , $32.00 ,59%,
Indianapolis,ST,midFod, $1.99 , $8.65 , $26.00 ,67%,
Indianapolis,SR,lowFod, $0.99 , $4.30 , $16.00 ,73%,
Knoxville,DS,highFod, $2.99 , $13.00 , $28.00 ,54%,
Knoxville,ST,midFod, $1.99 , $8.65 , $24.00 ,64%,
Knoxville,SO,lowFod, $0.99 , $4.30 , $16.00 ,73%,
Louisville,DS,highFod, $2.99 , $13.00 , $32.00 ,59%,
Louisville,WS,midFod, $1.99 , $8.65 , $26.00 ,67%,
Louisville,SO,lowFod, $0.99 , $4.30 , $18.00 ,76%,
Milwaukee - Metro,DS,highFod, $2.99 , $13.00 , $32.00 ,59%,
Milwaukee - Metro,W4,midFod, $1.99 , $8.65 , $24.00 ,64%,
Milwaukee - Metro,SW,lowFod, $0.99 , $4.30 , $16.00 ,73%,
Naples,DS,highFod, $2.99 , $13.00 , $34.00 ,62%,
Naples,WE,midFod, $1.99 , $8.65 , $20.00 ,57%,"**Naples doesn't use these offers. They promoted $19.99/$14.99. $9.99/month hi & mid to vol fp, lo to $12/month"
Naples,SO,lowFod, $0.99 , $4.30 , $16.00 ,73%,
Nashville,DS,highFod, $2.99 , $13.00 , $32.00 ,59%,
Nashville,WE,midFod, $1.99 , $8.65 , $22.00 ,61%,
Nashville,SO,lowFod, $0.99 , $4.30 , $18.00 ,76%,
Phoenix,,highFod, $2.99 , $13.00 , $32.00 ,59%,
Phoenix,,midFod, $1.99 , $8.65 ,,,
Phoenix,,lowFod, $0.99 , $4.30 ,,,
Rochester,DS,highFod, $2.99 , $13.00 , $32.00 ,59%,
Rochester,ST,midFod, $1.99 , $8.65 , $26.00 ,67%,
Rochester,SS,lowFod, $0.99 , $4.30 , $18.00 ,76%,
Westchester,DS,highFod, $2.99 , $13.00 , $32.00 ,59%,
Westchester,ST,midFod, $1.99 , $8.65 , $26.00 ,67%,
Westchester,SO,lowFod, $0.99 , $4.30 , $16.00 ,73%,
Appleton,DS,highFod, $2.99 , $13.00 , $28.00 ,54%,
Appleton,ST,midFod, $1.99 , $8.65 , $22.00 ,61%,
Appleton,SR,lowFod, $0.99 , $4.30 , $16.00 ,73%,
Asheville,DS,highFod, $2.99 , $13.00 , $29.00 ,55%,
Asheville,WE,midFod, $1.99 , $8.65 , $20.00 ,57%,
Asheville,SO,lowFod, $0.99 , $4.30 , $15.00 ,71%,
Binghamton,DS,highFod, $2.99 , $13.00 , $29.00 ,55%,
Binghamton,ST,midFod, $1.99 , $8.65 , $23.00 ,62%,
Binghamton,SO,lowFod, $0.99 , $4.30 , $16.00 ,73%,
Brevard,DS,highFod, $2.99 , $13.00 , $29.00 ,55%,
Brevard,WE,midFod, $1.99 , $8.65 , $20.00 ,57%,
Brevard,SO,lowFod, $0.99 , $4.30 , $15.00 ,71%,
Burlington,DS,highFod, $2.99 , $13.00 , $29.00 ,55%,
Burlington,ST,midFod, $1.99 , $8.65 , $23.00 ,62%,
Burlington,SO,lowFod, $0.99 , $4.30 , $16.00 ,73%,
Cherry Hill,DS,highFod, $2.99 , $13.00 , $28.00 ,54%,
Cherry Hill,ST,midFod, $1.99 , $8.65 , $23.00 ,62%,
